slug	scientific	common	reason
charadrius_veredus	Charadrius veredus	Oriental Plover	not in eBird taxonomy
charadrius_wilsonia	Charadrius wilsonia	Wilson's Plover	not in eBird taxonomy
chloropicus_fuscescens	Chloropicus fuscescens	Cardinal Woodpecker	not in eBird taxonomy
chloropicus_goertae	Chloropicus goertae	African Gray Woodpecker	not in eBird taxonomy
chloropicus_griseocephalus	Chloropicus griseocephalus	Olive Woodpecker	not in eBird taxonomy
chloropicus_spodocephalus	Chloropicus spodocephalus	Mountain Gray Woodpecker	not in eBird taxonomy
cholornis_unicolor	Cholornis unicolor	Brown Parrotbill	not in eBird taxonomy
chrysococcyx_basalis	Chrysococcyx basalis	Horsfield's Bronze-Cuckoo	not in eBird taxonomy
chrysococcyx_lucidus	Chrysococcyx lucidus	Shining Bronze-Cuckoo	not in eBird taxonomy
chrysococcyx_minutillus	Chrysococcyx minutillus	Little Bronze-Cuckoo	not in eBird taxonomy
chrysococcyx_osculans	Chrysococcyx osculans	Black-eared Cuckoo	not in eBird taxonomy
ciccaba_albitarsis	Ciccaba albitarsis	Rufous-banded Owl	not in eBird taxonomy
ciccaba_huhula	Ciccaba huhula	Black-banded Owl	not in eBird taxonomy
ciccaba_nigrolineata	Ciccaba nigrolineata	Black-and-white Owl	not in eBird taxonomy
ciccaba_virgata	Ciccaba virgata	Mottled Owl	not in eBird taxonomy
cicinnurus_magnificus	Cicinnurus magnificus	Magnificent Bird-of-Paradise	not in eBird taxonomy
cicinnurus_respublica	Cicinnurus respublica	Wilson's Bird-of-Paradise	not in eBird taxonomy
clytolaema_rubricauda	Clytolaema rubricauda	Brazilian Ruby	not in eBird taxonomy
coccothraustes_abeillei	Coccothraustes abeillei	Hooded Grosbeak	not in eBird taxonomy
coccothraustes_vespertinus	Coccothraustes vespertinus	Evening Grosbeak	not in eBird taxonomy
colluricincla_rufogaster	Colluricincla rufogaster	Rufous Shrikethrush	not in eBird taxonomy
columba_larvata	Columba larvata	Lemon Dove	not in eBird taxonomy
conocephalus_brevipennis	Conocephalus brevipennis	Short-winged Meadow Katydid	not in eBird taxonomy
conocephalus_fasciatus	Conocephalus fasciatus	Slender Meadow Katydid	not in eBird taxonomy
conostoma_aemodium	Conostoma aemodium	Great Parrotbill	not in eBird taxonomy
coracina_caesia	Coracina caesia	Gray Cuckooshrike	not in eBird taxonomy
coracina_cinerea	Coracina cinerea	Madagascar Cuckooshrike	not in eBird taxonomy
coracina_pectoralis	Coracina pectoralis	White-breasted Cuckooshrike	not in eBird taxonomy
corvus_dauuricus	Corvus dauuricus	Daurian Jackdaw	not in eBird taxonomy
corvus_monedula	Corvus monedula	Eurasian Jackdaw	not in eBird taxonomy
corythaixoides_concolor	Corythaixoides concolor	Gray Go-away-bird	not in eBird taxonomy
corythaixoides_leucogaster	Corythaixoides leucogaster	White-bellied Go-away-bird	not in eBird taxonomy
cossypha_anomala	Cossypha anomala	Olive-flanked Robin-Chat	not in eBird taxonomy
cossypha_archeri	Cossypha archeri	Archer's Robin-Chat	not in eBird taxonomy
cossypha_caffra	Cossypha caffra	Cape Robin-Chat	not in eBird taxonomy
cossypha_humeralis	Cossypha humeralis	White-throated Robin-Chat	not in eBird taxonomy
cossypha_polioptera	Cossypha polioptera	Gray-winged Robin-Chat	not in eBird taxonomy
cracticus_quoyi	Cracticus quoyi	Black Butcherbird	not in eBird taxonomy
cranioleuca_gutturata	Cranioleuca gutturata	Speckled Spinetail	not in eBird taxonomy
crateroscelis_murina	Crateroscelis murina	Rusty Mouse-Warbler	not in eBird taxonomy
crateroscelis_robusta	Crateroscelis robusta	Mountain Mouse-Warbler	not in eBird taxonomy
cyanoderma_ambiguum	Cyanoderma ambiguum	Buff-chested Babbler	not in eBird taxonomy
cyornis_concretus	Cyornis concretus	White-tailed Flycatcher	not in eBird taxonomy
cyornis_hoevelli	Cyornis hoevelli	Blue-fronted Flycatcher	not in eBird taxonomy
cyrtoxipha_columbiana	Cyrtoxipha columbiana	Columbian Trig	not in eBird taxonomy
dicaeum_agile	Dicaeum agile	Thick-billed Flowerpecker	not in eBird taxonomy
dicaeum_chrysorrheum	Dicaeum chrysorrheum	Yellow-vented Flowerpecker	not in eBird taxonomy
dicrurus_divaricatus	Dicrurus divaricatus	Glossy-backed Drongo	not in eBird taxonomy
dinopium_rafflesii	Dinopium rafflesii	Olive-backed Woodpecker	not in eBird taxonomy
dog	Dog	Dog	not in eBird taxonomy
dryobates_affinis	Dryobates affinis	Red-stained Woodpecker	not in eBird taxonomy
dryobates_albolarvatus	Dryobates albolarvatus	White-headed Woodpecker	not in eBird taxonomy
dryobates_arizonae	Dryobates arizonae	Arizona Woodpecker	not in eBird taxonomy
dryobates_borealis	Dryobates borealis	Red-cockaded Woodpecker	not in eBird taxonomy
dryobates_callonotus	Dryobates callonotus	Scarlet-backed Woodpecker	not in eBird taxonomy
dryobates_cassini	Dryobates cassini	Golden-collared Woodpecker	not in eBird taxonomy
dryobates_dignus	Dryobates dignus	Yellow-vented Woodpecker	not in eBird taxonomy
dryobates_frontalis	Dryobates frontalis	Dot-fronted Woodpecker	not in eBird taxonomy
dryobates_fumigatus	Dryobates fumigatus	Smoky-brown Woodpecker	not in eBird taxonomy
dryobates_kirkii	Dryobates kirkii	Red-rumped Woodpecker	not in eBird taxonomy
dryobates_lignarius	Dryobates lignarius	Striped Woodpecker	not in eBird taxonomy
dryobates_maculifrons	Dryobates maculifrons	Yellow-eared Woodpecker	not in eBird taxonomy
dryobates_mixtus	Dryobates mixtus	Checkered Woodpecker	not in eBird taxonomy
dryobates_nigriceps	Dryobates nigriceps	Bar-bellied Woodpecker	not in eBird taxonomy
dryobates_passerinus	Dryobates passerinus	Little Woodpecker	not in eBird taxonomy
dryobates_spilogaster	Dryobates spilogaster	White-spotted Woodpecker	not in eBird taxonomy
dryobates_stricklandi	Dryobates stricklandi	Strickland's Woodpecker	not in eBird taxonomy
dryobates_villosus	Dryobates villosus	Hairy Woodpecker	not in eBird taxonomy
dryophytes_andersonii	Dryophytes andersonii	Pine Barrens Treefrog	not in eBird taxonomy
dryophytes_arenicolor	Dryophytes arenicolor	Canyon Treefrog	not in eBird taxonomy
dryophytes_avivoca	Dryophytes avivoca	Bird-voiced Treefrog	not in eBird taxonomy
dryophytes_chrysoscelis	Dryophytes chrysoscelis	Cope's Gray Treefrog	not in eBird taxonomy
dryophytes_cinereus	Dryophytes cinereus	Green Treefrog	not in eBird taxonomy
dryophytes_femoralis	Dryophytes femoralis	Pine Woods Treefrog	not in eBird taxonomy
dryophytes_gratiosus	Dryophytes gratiosus	Barking Treefrog	not in eBird taxonomy
dryophytes_squirellus	Dryophytes squirellus	Squirrel Treefrog	not in eBird taxonomy
dryophytes_versicolor	Dryophytes versicolor	Gray Treefrog	not in eBird taxonomy
dryotriorchis_spectabilis	Dryotriorchis spectabilis	Congo Serpent-Eagle	not in eBird taxonomy
eleutherodactylus_planirostris	Eleutherodactylus planirostris	Greenhouse Frog	not in eBird taxonomy
elseyornis_melanops	Elseyornis melanops	Black-fronted Dotterel	not in eBird taxonomy
empidonax_occidentalis	Empidonax occidentalis	Cordilleran Flycatcher	not in eBird taxonomy
engine	Engine	Engine	not in eBird taxonomy
environmental	Environmental	Environmental	not in eBird taxonomy
eunemobius_carolinus	Eunemobius carolinus	Carolina Ground Cricket	not in eBird taxonomy
eunemobius_confusus	Eunemobius confusus	Confused Ground Cricket	not in eBird taxonomy
eupodotis_afra	Eupodotis afra	Black Bustard	not in eBird taxonomy
eupodotis_afraoides	Eupodotis afraoides	White-quilled Bustard	not in eBird taxonomy
eupodotis_ruficrista	Eupodotis ruficrista	Red-crested Bustard	not in eBird taxonomy
eupodotis_vigorsii	Eupodotis vigorsii	Karoo Bustard	not in eBird taxonomy
fireworks	Fireworks	Fireworks	not in eBird taxonomy
gastrophryne_carolinensis	Gastrophryne carolinensis	Eastern Narrow-mouthed Toad	not in eBird taxonomy
gastrophryne_olivacea	Gastrophryne olivacea	Great Plains Narrow-mouthed Toad	not in eBird taxonomy
geokichla_peronii	Geokichla peronii	Orange-banded Thrush	ERROR: ebird:orbthr1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
geokichla_piaggiae	Geokichla piaggiae	Abyssinian Ground-Thrush	ERROR: ebird:abgthr1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
glossopsitta_concinna	Glossopsitta concinna	Musk Lorikeet	not in eBird taxonomy
grus_japonensis	Grus japonensis	Red-crowned Crane	ERROR: ebird:reccra1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
grus_monacha	Grus monacha	Hooded Crane	ERROR: ebird:hoocra1 → HTTPSConnectionPool(host='ebird.org', port=443): Read timed out. (read timeout=20)
gryllus_assimilis	Gryllus assimilis	Gryllus assimilis	not in eBird taxonomy
gryllus_fultoni	Gryllus fultoni	Southern Wood Cricket	not in eBird taxonomy
gryllus_pennsylvanicus	Gryllus pennsylvanicus	Fall Field Cricket	not in eBird taxonomy
gryllus_rubens	Gryllus rubens	Southeastern Field Cricket	not in eBird taxonomy
gun	Gun	Gun	not in eBird taxonomy
habia_atrimaxillaris	Habia atrimaxillaris	Black-cheeked Ant-Tanager	not in eBird taxonomy
habia_cristata	Habia cristata	Crested Ant-Tanager	not in eBird taxonomy
habia_fuscicauda	Habia fuscicauda	Red-throated Ant-Tanager	not in eBird taxonomy
habia_gutturalis	Habia gutturalis	Sooty Ant-Tanager	not in eBird taxonomy
haliaeetus_humilis	Haliaeetus humilis	Lesser Fish-Eagle	not in eBird taxonomy
haliaeetus_ichthyaetus	Haliaeetus ichthyaetus	Gray-headed Fish-Eagle	not in eBird taxonomy
haliaeetus_leucogaster	Haliaeetus leucogaster	White-bellied Sea-Eagle	not in eBird taxonomy
haliaeetus_vocifer	Haliaeetus vocifer	African Fish-Eagle	not in eBird taxonomy
hapalocrex_flaviventer	Hapalocrex flaviventer	Yellow-breasted Crake	not in eBird taxonomy
herpsilochmus_sellowi	Herpsilochmus sellowi	Caatinga Antwren	not in eBird taxonomy
